旅店名稱,旅客評分,旅客評鑑數目,旅店當天價格,行政區,lat,log
丹迪旅店 - 天母店 (Dandy Hotel - Tianmu Branch),8.9,2927.0,1917.0,士林區,25.11457,121.52775
台北老爺大酒店 (Hotel Royal Nikko Taipei),8.8,2371.0,3571.0,中山區,25.05387,121.5227
和逸飯店‧台北忠孝館 (Hotel Cozzi Zhongxiao Taipei),8.7,1388.0,3929.0,中正區,25.04456,121.52512
丰居旅店西門館 (Via Hotel Ximen),8.8,5762.0,2651.0,萬華區,25.044,121.50758
玫瑰精品旅館新生館 (Rose Boutique Hotel Taipei City  Center),8.5,599.0,2576.0,大安區,25.04083,121.53573
茄子青旅 (Hostel Jiizu),8.4,4490.0,1095.0,松山區,25.05189,121.56045
台北怡亨酒店 (Hotel Eclat Taipei),8.6,1484.0,4626.0,大安區,25.03374,121.54816
文舺行旅 (Monka Hotel),8.7,778.0,1599.0,萬華區,25.03804,121.50009
台北中山雅樂軒酒店 (Aloft Taipei Zhongshan),8.4,246.0,4500.0,中山區,25.06302,121.52425
西悠飯店 (C U Hotel),8.5,4137.0,758.0,大同區,25.05701,121.51627
西門大飯店 - A館 (Ximen Hotel - A),8.0,2638.0,1240.0,萬華區,25.04559,121.50858
神旺商務酒店 (San Want Residences Taipei),9.0,1960.0,4315.0,中山區,25.05191,121.52689
Triple Tiger Hostel,8.5,1163.0,,萬華區,25.04371,121.50433
台北北門窩泊旅 (Beimen Wow Poshtel),8.5,4214.0,606.0,中正區,25.05224,121.51529
美亞商旅 (Mayer Inn),8.4,2685.0,1461.0,中正區,25.04623,121.51562
一加一旅館 (One Plus One Hotel),7.7,2849.0,676.0,萬華區,25.04705,121.50564
綠峯渡假山莊 (Greenpeak Holiday Villa),7.4,278.0,2301.0,金山區,25.18816,121.58863
尤利西斯旅店 (Ulysses Hotel),8.7,1134.0,1429.0,中正區,25.04919,121.51944
新驛旅店台北車站二館 (CityInn Hotel Taipei Station Branch II),8.7,3089.0,1335.0,中正區,25.05116,121.5164
永安棧 (WESTGATE Hotel),8.6,6529.0,3178.0,萬華區,25.04312,121.50774
北投熱海溫泉大飯店 (Atami Hotel Taipei Onsen),6.9,1358.0,2218.0,北投區,25.13681,121.50913
天津大飯店 (Tien Chin Hotel),7.6,165.0,863.0,中山區,25.05106,121.5232
丹迪旅店 - 天母店 (Dandy Hotel - Tianmu Branch),8.9,2927.0,1917.0,士林區,25.11457,121.52775
和逸飯店‧台北忠孝館 (Hotel Cozzi Zhongxiao Taipei),8.7,1388.0,3929.0,中正區,25.04439,121.52368
大板根森林溫泉酒店 (Great Roots Forestry Spa Resort),8.3,1657.0,7991.0,三峽區,24.87101,121.40668
闊飯店- 台北 (Hotel Quote Taipei),8.7,1804.0,3525.0,松山區,25.05208,121.54719
意芙旅店 (If Inn),8.4,632.0,1514.0,大同區,25.05921,121.51134
玫瑰精品旅館新生館 (Rose Boutique Hotel Taipei City  Center),8.5,599.0,2576.0,大安區,25.0411,121.53496
旅樂序精品旅館站前五館 (Hotel Relax V),8.6,2841.0,1289.0,中正區,25.0462,121.5129
茄子青旅 (Hostel Jiizu),8.4,4490.0,1095.0,松山區,25.05189,121.56045
台北怡亨酒店 (Hotel Eclat Taipei),8.6,1484.0,4626.0,大安區,25.03374,121.54816
文舺行旅 (Monka Hotel),8.7,778.0,1599.0,萬華區,25.03757,121.49951
大來飯店 (Delight Hotel),8.1,1462.0,1636.0,松山區,25.05443,121.54466
囍閱文旅 (Hotel Attic),8.8,636.0,1331.0,萬華區,25.04078,121.50671
慕居行旅 (Members Hotel at Taipei 101),8.7,1569.0,1340.0,信義區,25.03192,121.55841
台北中山雅樂軒酒店 (Aloft Taipei Zhongshan),8.4,246.0,4500.0,中山區,25.06302,121.52425
囍門旅店 (DB Apartment),8.0,621.0,1796.0,萬華區,25.04833,121.50763
西悠飯店 (C U Hotel),8.5,4137.0,758.0,大同區,25.05701,121.51627
西門大飯店 - A館 (Ximen Hotel - A),8.0,2638.0,1240.0,萬華區,25.04559,121.50858
甲山林湯旅 (JSL HOTEL),8.4,495.0,1969.0,中山區,25.056,121.53966
豪景大酒店 (Hotel Riverview),7.3,3411.0,1818.0,萬華區,25.04458,121.5015
詩漫精品旅館 - 站前館 (Smile Inn - Taipei Main Station),8.2,5506.0,1721.0,中正區,25.04579,121.51463
力麗哲園 - 台北 (Lealea Garden Hotels - Taipei),7.9,1311.0,1861.0,松山區,25.04907,121.56392
瑪奇文旅 (Macchi Hotel),8.4,1381.0,1454.0,文山區,24.99267,121.54166
好得文旅 (chill roof),9.0,876.0,2748.0,中山區,25.05232,121.52824
台北國際飯店 (Taipei International Hotel),7.6,404.0,3394.0,中山區,25.05189,121.52486
金帥飯店 (Kingshi Hotel),7.1,3493.0,942.0,萬華區,25.04262,121.50443
富裕自由旅店 - 林森館 (RF Hotel - Lin Sen),8.0,1766.0,2056.0,中山區,25.04968,121.52559
灝美旅舍忠孝敦化店 (Homy Inn Zhongxiao Dunhua),8.2,1986.0,1643.0,大安區,25.04176,121.54809
台灣青旅膠囊旅店 (Taiwan Youth Hostel & Capsule Hotel),9.2,2873.0,1361.0,中正區,25.04558,121.51808
碩美精品旅店 (Beauty Hotels Taipei- Hotel Bstay),8.4,1006.0,1747.0,中山區,25.05737,121.52283
淡水海灣驛站 (Bayview Tamsui Hotel),8.3,879.0,3101.0,淡水區,25.1691,121.44485
五月家台大館 (May Rooms Taipei NTU),8.3,1715.0,1351.0,文山區,25.01051,121.53687
悠趣旅店 (URTRIP Hotel),8.5,3022.0,2256.0,松山區,25.04834,121.54462
台北綠蒂飯店 (Taipei Lotty Hotel),8.0,1651.0,1728.0,中山區,25.0653,121.52669
台北喜來登大飯店 (Sheraton Grand Taipei Hotel),8.4,993.0,7014.0,中正區,25.04468,121.52203
谷墨商旅 (Goodmore Hotel),8.2,5353.0,2784.0,大安區,25.02667,121.53069
"福容大飯店台北一館 (Fullon Hotel Taipei, Central)",8.0,1145.0,7604.0,大安區,25.03664,121.53699
馥華大觀商務旅館 (Hotel Purity),7.7,1054.0,1692.0,新莊區,25.0361,121.45358
台北香城大飯店 (Charming City Hotel Taipei),7.8,939.0,1923.0,大安區,25.03336,121.55508
日光拾玖 (Sky19 Hotel),8.8,1115.0,2301.0,中正區,25.04593,121.51575
茄子青旅 (Hostel Jiizu),8.4,4490.0,1095.0,松山區,25.05189,121.56045
藝宿商旅台北寧夏館 (YI SU HOTEL – TAIPEI NINGXIA),8.0,2216.0,1504.0,中正區,25.05339,121.51385
慕軒飯店 (Madison Taipei Hotel),8.8,1184.0,5857.0,大安區,25.03404,121.54907
華泰瑞舍 (Gloria Residence),8.8,521.0,4072.0,中山區,25.05725,121.52545
文舺行旅 (Monka Hotel),8.7,778.0,1599.0,萬華區,25.03757,121.49951
大來飯店 (Delight Hotel),8.1,1462.0,1636.0,松山區,25.05443,121.54466
囍閱文旅 (Hotel Attic),8.8,636.0,1331.0,萬華區,25.04078,121.50671
雅歌會館 (YA-GO RIVER LODGE),7.8,486.0,1741.0,淡水區,25.16896,121.4478
叙美精品旅店 (Beauty Hotels Taipei- Hotel B7),8.1,2048.0,1363.0,中正區,25.04274,121.5131
福爾摩莎101青年旅館 (Formosa 101 Hostel),8.5,2314.0,1084.0,信義區,25.02872,121.55697
大稻埕花園旅店 (DG Hotel),8.6,512.0,3079.0,大同區,25.06219,121.50894
囍門旅店 (DB Apartment),8.0,621.0,1796.0,萬華區,25.16896,121.4478
西門航棧商旅 (Ximen Airline Hotel),8.5,1582.0,2398.0,萬華區,25.04317,121.50786
正點商務旅店 (Cheng Dian Hotel),7.7,992.0,1633.0,板橋區,25.01352,121.46032
甲山林湯旅 (JSL HOTEL),8.4,495.0,1969.0,中山區,25.056,121.53966
豪景大酒店 (Hotel Riverview),7.3,3411.0,1818.0,萬華區,25.04457,121.50148
宜家商旅 (La Maison Hotel),8.4,2824.0,1925.0,內湖區,25.0742,121.58944
華泰王子大飯店 (Gloria Prince),7.8,1171.0,2933.0,中山區,25.05788,121.52543
力麗哲園 - 台北 (Lealea Garden Hotels - Taipei),7.9,1311.0,1861.0,松山區,25.04907,121.56392
好得文旅 (chill roof),9.0,876.0,2748.0,中山區,25.05232,121.52824
台北士林萬麗酒店 (Renaissance Taipei Shihlin Hotel),8.7,334.0,6000.0,士林區,25.09284,121.52873
泉都溫泉會館 (Chyuan Du Spring Resort),8.0,4886.0,2045.0,北投區,25.13628,121.50444
